year,month,longitude,latitude,attack_type,vessel_status,shore_distance,nearest_country,region
1994,11,53.8958,29.8115,Hijacked,Steaming,279.280795298375,Irn,Middle East & North Africa
1994,11,53.8958,29.8115,Hijacked,Steaming,279.280795298375,Irn,Middle East & North Africa
1994,11,90.0183,21.9721,Hijacked,Steaming,2.0443351112585977,Bgd,South Asia
1994,11,53.8958,29.8115,Hijacked,Steaming,279.280795298375,Irn,Middle East & North Africa
1994,11,53.8958,29.8115,Hijacked,Steaming,279.280795298375,Irn,Middle East & North Africa
1995,1,98.6767,3.7766667,Boarding,Anchored,4.815190418867126,Idn,East Asia & Pacific
1995,1,98.7983,3.98,Boarding,Anchored,15.329673709673695,Idn,East Asia & Pacific
1995,1,120.0867,18.425,Attempted,Steaming,50.427740592830126,Phl,East Asia & Pacific
1995,1,118.105,5.8133333,Boarding,Anchored,1.5612160931661112,Mys,East Asia & Pacific
1995,1,120.8167,16.6,Attempted,Steaming,53.815771406789445,Phl,East Asia & Pacific
1995,1,39.3533,-6.775,Boarding,Anchored,5.977859498251536,Tza,Sub-Saharan Africa
1995,1,106.875,-6.0886667,Boarding,Anchored,4.407541807863196,Idn,East Asia & Pacific
1995,2,116.7967,-1.2766667,Boarding,Anchored,1.9872330159414615,Idn,East Asia & Pacific
1995,2,-43.1667,-22.8933333,Boarding,Anchored,0.53913985225232,Bra,Latin America & Caribbean
1995,2,108.5833,7.3,Boarding,Steaming,262.8457714376938,Vnm,East Asia & Pacific
1995,2,105.9467,-6.0083333,Boarding,Anchored,1.5630344828277147,Idn,East Asia & Pacific
1995,2,117.4167,23.2,Attempted,Steaming,36.80991688079949,Chn,East Asia & Pacific
1995,2,-79.9167,9.35,Boarding,Berthed,1.8399192146014045,Pan,Latin America & Caribbean
1995,2,43.6167,11.5833333,Attempted,Steaming,26.34617801893246,Som,Sub-Saharan Africa
1995,3,119.03,19.675,Attempted,Steaming,207.68825518899976,Phl,East Asia & Pacific
1995,3,-43.1667,-22.8933333,Boarding,Anchored,0.53913985225232,Bra,Latin America & Caribbean
1995,3,114.2,22.2666667,Hijacked,Steaming,2.4774731740712785,Chn,East Asia & Pacific
1995,3,106.15,-6.0666667,Boarding,Anchored,6.399349130850486,Idn,East Asia & Pacific
1995,3,117.85,21.7166667,Boarding,Steaming,194.48985518838572,Chn,East Asia & Pacific
1995,3,29.9667,41.0166667,Boarding,Anchored,16.233875892867275,Tur,Europe & Central Asia
1995,3,113.8571,21.8865,Hijacked,Steaming,13.06400513961036,Chn,East Asia & Pacific
1995,3,117.2833,-1.0,Boarding,Anchored,9.923118079827436,Idn,East Asia & Pacific
1995,4,112.0667,-7.1456667,Boarding,Anchored,26.34965980222132,Idn,East Asia & Pacific
1995,4,107.35,-2.7,Attempted,Steaming,17.163480957109247,Idn,East Asia & Pacific
1995,4,50.81,12.145,Boarding,Steaming,17.294586993556223,Som,Sub-Saharan Africa
1995,4,113.445,16.2183333,Attempted,Steaming,90.06288578841888,Chn,East Asia & Pacific
1995,4,48.4136,4.9115,Attempted,Steaming,20.83466191354553,Som,Sub-Saharan Africa
1995,4,120.82,18.7616667,Attempted,Steaming,12.897205731521058,Phl,East Asia & Pacific
1995,4,121.625,19.715,Attempted,Steaming,33.45507753684729,Phl,East Asia & Pacific
