year,month,longitude,latitude,attack_type,vessel_status,shore_distance,nearest_country,region,attack_occurred,attack_probability_pct,risk_band,lambda_region,expected_loss_usd,risk_premium_usd,base_premium_usd,total_premium_usd,premium_rate_pct
1994,11,53.8958,29.8115,Hijacked,Steaming,279.280795298375,Irn,Middle East & North Africa,1,70.41,High,1.9,11705662.5,14046795.0,12500.0,14059295.0,56.23718
1994,11,53.8958,29.8115,Hijacked,Steaming,279.280795298375,Irn,Middle East & North Africa,1,70.41,High,1.9,11705662.5,14046795.0,12500.0,14059295.0,56.23718
1994,11,90.0183,21.9721,Hijacked,Steaming,2.0443351112585977,Bgd,South Asia,1,29.08,Moderate,1.6,4071200.0,4885440.0,12500.0,4897940.0,19.59176
1994,11,53.8958,29.8115,Hijacked,Steaming,279.280795298375,Irn,Middle East & North Africa,1,70.41,High,1.9,11705662.5,14046795.0,12500.0,14059295.0,56.23718
1994,11,53.8958,29.8115,Hijacked,Steaming,279.280795298375,Irn,Middle East & North Africa,1,70.41,High,1.9,11705662.5,14046795.0,12500.0,14059295.0,56.23718
1995,1,98.6767,3.7766667,Boarding,Anchored,4.815190418867126,Idn,East Asia & Pacific,0,6.72,Low,1.4,823200.0,987840.0,12500.0,1000340.0,4.00136
1995,1,98.7983,3.98,Boarding,Anchored,15.329673709673695,Idn,East Asia & Pacific,0,7.63,Low,1.4,934675.0,1121610.0,12500.0,1134110.0,4.53644
1995,1,120.0867,18.425,Attempted,Steaming,50.427740592830126,Phl,East Asia & Pacific,0,4.23,Low,1.4,518175.0,621810.0,12500.0,634310.0,2.53724
1995,1,118.105,5.8133333,Boarding,Anchored,1.5612160931661112,Mys,East Asia & Pacific,0,8.27,Low,1.4,1013075.0,1215690.0,12500.0,1228190.0,4.91276
1995,1,120.8167,16.6,Attempted,Steaming,53.815771406789445,Phl,East Asia & Pacific,0,5.0,Low,1.4,612500.0,735000.0,12500.0,747500.0,2.99
1995,1,39.3533,-6.775,Boarding,Anchored,5.977859498251536,Tza,Sub-Saharan Africa,0,8.15,Low,1.7,1212312.5,1454775.0,12500.0,1467275.0,5.8691
1995,1,106.875,-6.0886667,Boarding,Anchored,4.407541807863196,Idn,East Asia & Pacific,0,7.02,Low,1.4,859950.0,1031940.0,12500.0,1044440.0,4.17776
1995,2,116.7967,-1.2766667,Boarding,Anchored,1.9872330159414613,Idn,East Asia & Pacific,0,7.51,Low,1.4,919975.0,1103970.0,12500.0,1116470.0,4.46588
1995,2,-43.1667,-22.8933333,Boarding,Anchored,0.53913985225232,Bra,Latin America & Caribbean,0,6.83,Low,1.0,597625.0,717150.0,12500.0,729650.0,2.9186
1995,2,108.5833,7.3,Boarding,Steaming,262.8457714376938,Vnm,East Asia & Pacific,0,10.35,Low,1.4,1267875.0,1521450.0,12500.0,1533950.0,6.1358
1995,2,105.9467,-6.0083333,Boarding,Anchored,1.5630344828277147,Idn,East Asia & Pacific,0,7.35,Low,1.4,900375.0,1080450.0,12500.0,1092950.0,4.3718
1995,2,117.4167,23.2,Attempted,Steaming,36.80991688079949,Chn,East Asia & Pacific,0,26.7,Moderate,1.4,3270750.0,3924900.0,12500.0,3937400.0,15.7496
1995,2,-79.9167,9.35,Boarding,Berthed,1.8399192146014045,Pan,Latin America & Caribbean,0,8.64,Low,1.0,756000.0,907200.0,12500.0,919700.0,3.6788
1995,2,43.6167,11.5833333,Attempted,Steaming,26.34617801893246,Som,Sub-Saharan Africa,0,18.97,Low,1.7,2821787.5,3386145.0,12500.0,3398645.0,13.59458
1995,3,119.03,19.675,Attempted,Steaming,207.68825518899976,Phl,East Asia & Pacific,0,4.51,Low,1.4,552475.0,662970.0,12500.0,675470.0,2.70188
1995,3,-43.1667,-22.8933333,Boarding,Anchored,0.53913985225232,Bra,Latin America & Caribbean,0,7.03,Low,1.0,615125.0,738150.0,12500.0,750650.0,3.0026
1995,3,114.2,22.2666667,Hijacked,Steaming,2.4774731740712785,Chn,East Asia & Pacific,1,57.47,High,1.4,7040075.0,8448090.0,12500.0,8460590.0,33.84236
1995,3,106.15,-6.0666667,Boarding,Anchored,6.399349130850486,Idn,East Asia & Pacific,0,7.16,Low,1.4,877100.0,1052520.0,12500.0,1065020.0,4.26008
1995,3,117.85,21.7166667,Boarding,Steaming,194.4898551883857,Chn,East Asia & Pacific,0,9.87,Low,1.4,1209075.0,1450890.0,12500.0,1463390.0,5.85356
1995,3,29.9667,41.0166667,Boarding,Anchored,16.233875892867275,Tur,Europe & Central Asia,0,10.33,Low,1.05,949068.75,1138882.5,12500.0,1151382.5,4.60553
1995,3,113.8571,21.8865,Hijacked,Steaming,13.06400513961036,Chn,East Asia & Pacific,1,29.56,Moderate,1.4,3621100.0,4345320.0,12500.0,4357820.0,17.43128
1995,3,117.2833,-1.0,Boarding,Anchored,9.923118079827436,Idn,East Asia & Pacific,0,9.27,Low,1.4,1135575.0,1362690.0,12500.0,1375190.0,5.50076
1995,4,112.0667,-7.1456667,Boarding,Anchored,26.34965980222132,Idn,East Asia & Pacific,0,9.21,Low,1.4,1128225.0,1353870.0,12500.0,1366370.0,5.46548
1995,4,107.35,-2.7,Attempted,Steaming,17.163480957109247,Idn,East Asia & Pacific,0,9.04,Low,1.4,1107400.0,1328880.0,12500.0,1341380.0,5.36552
1995,4,50.81,12.145,Boarding,Steaming,17.294586993556223,Som,Sub-Saharan Africa,0,17.87,Low,1.7,2658162.5,3189795.0,12500.0,3202295.0,12.80918
1995,4,113.445,16.2183333,Attempted,Steaming,90.06288578841888,Chn,East Asia & Pacific,0,13.17,Low,1.4,1613325.0,1935990.0,12500.0,1948490.0,7.79396
1995,4,48.4136,4.9115,Attempted,Steaming,20.83466191354553,Som,Sub-Saharan Africa,0,31.52,Moderate,1.7,4688600.0,5626320.0,12500.0,5638820.0,22.55528
1995,4,120.82,18.7616667,Attempted,Steaming,12.897205731521058,Phl,East Asia & Pacific,0,10.42,Low,1.4,1276450.0,1531740.0,12500.0,1544240.0,6.17696
1995,4,121.625,19.715,Attempted,Steaming,33.45507753684729,Phl,East Asia & Pacific,0,6.42,Low,1.4,786450.0,943740.0,12500.0,956240.0,3.82496
1995,4,121.625,19.7166667,Attempted,Steaming,33.55186018984275,Phl,East Asia & Pacific,0,6.42,Low,1.4,786450.0,943740.0,12500.0,956240.0,3.82496
1995,4,117.25,-1.0416667,Boarding,Anchored,11.65232425555158,Idn,East Asia & Pacific,0,9.32,Low,1.4,1141700.0,1370040.0,12500.0,1382540.0,5.53016
1995,4,114.2617,11.0466667,Hijacked,Steaming,1.1422583732149758,Chn,East Asia & Pacific,1,32.64,Moderate,1.4,3998400.0,4798080.0,12500.0,4810580.0,19.24232
1995,4,104.75,-2.9765,Boarding,Steaming,32.92288346165283,Idn,East Asia & Pacific,0,10.41,Low,1.4,1275225.0,1530270.0,12500.0,1542770.0,6.17108
1995,4,106.6,7.9166667,Attempted,Steaming,81.24360354251596,Vnm,East Asia & Pacific,0,13.21,Low,1.4,1618225.0,1941870.0,12500.0,1954370.0,7.81748
1995,4,50.8,12.15,Hijacked,Steaming,17.79867237479922,Som,Sub-Saharan Africa,1,18.65,Low,1.7,2774187.5,3329025.0,12500.0,3341525.0,13.3661
1995,4,106.875,-6.0886667,Boarding,Berthed,4.407541807863196,Idn,East Asia & Pacific,0,9.32,Low,1.4,1141700.0,1370040.0,12500.0,1382540.0,5.53016
1995,4,50.7167,12.1333333,Attempted,Steaming,17.396660623133382,Som,Sub-Saharan Africa,0,18.24,Low,1.7,2713200.0,3255840.0,12500.0,3268340.0,13.07336
1995,4,-46.2872,-23.9761667,Boarding,Berthed,0.5597724631570796,Bra,Latin America & Caribbean,0,8.21,Low,1.0,718375.0,862050.0,12500.0,874550.0,3.4982
1995,4,124.6,5.8833333,Attempted,Steaming,11.26466144280327,Phl,East Asia & Pacific,0,7.28,Low,1.4,891800.0,1070160.0,12500.0,1082660.0,4.33064
1995,5,53.3833,12.95,Attempted,Steaming,29.20640232296753,Yem,Middle East & North Africa,0,15.83,Low,1.9,2631737.5,3158085.0,12500.0,3170585.0,12.68234
1995,5,53.3833,12.95,Attempted,Steaming,29.20640232296753,Yem,Middle East & North Africa,0,15.83,Low,1.9,2631737.5,3158085.0,12500.0,3170585.0,12.68234
1995,5,105.9167,-6.0433333,Boarding,Anchored,4.388564131902703,Idn,East Asia & Pacific,0,7.21,Low,1.4,883225.0,1059870.0,12500.0,1072370.0,4.28948
1995,5,51.0333,12.2,Attempted,Steaming,30.400642631998966,Som,Sub-Saharan Africa,0,18.43,Low,1.7,2741462.5,3289755.0,12500.0,3302255.0,13.20902
1995,5,50.0678,4.7999,Attempted,Steaming,174.59036622944734,Som,Sub-Saharan Africa,0,26.26,Moderate,1.7,3906175.0,4687410.0,12500.0,4699910.0,18.79964
1995,5,50.85,12.1,Attempted,Steaming,13.515960709305036,Som,Sub-Saharan Africa,0,17.39,Low,1.7,2586762.5,3104115.0,12500.0,3116615.0,12.46646
1995,5,118.1167,5.8266667,Boarding,Berthed,2.313767862887424,Mys,East Asia & Pacific,0,8.96,Low,1.4,1097600.0,1317120.0,12500.0,1329620.0,5.31848
1995,5,124.3167,5.8,Attempted,Steaming,36.23712003543535,Phl,East Asia & Pacific,0,4.29,Low,1.4,525525.0,630630.0,12500.0,643130.0,2.57252
1995,5,100.6067,13.3516667,Boarding,Anchored,18.45410034913118,Tha,East Asia & Pacific,0,7.57,Low,1.4,927325.0,1112790.0,12500.0,1125290.0,4.50116
1995,5,113.5333,22.1333333,Boarding,Anchored,1.043415763752531,Chn,East Asia & Pacific,0,8.98,Low,1.4,1100050.0,1320060.0,12500.0,1332560.0,5.33024
1995,5,113.2753,23.108,Boarding,Berthed,12.933661957663302,Chn,East Asia & Pacific,0,12.82,Low,1.4,1570450.0,1884540.0,12500.0,1897040.0,7.58816
1995,5,112.7467,-7.1885,Boarding,Berthed,1.852101831449348,Idn,East Asia & Pacific,0,9.21,Low,1.4,1128225.0,1353870.0,12500.0,1366370.0,5.46548
1995,5,104.1099,1.323,Boarding,Steaming,5.049369496771659,Mys,East Asia & Pacific,0,11.71,Low,1.4,1434475.0,1721370.0,12500.0,1733870.0,6.93548
1995,5,113.8,22.1166667,Boarding,Anchored,10.11223592368214,Chn,East Asia & Pacific,0,8.01,Low,1.4,981225.0,1177470.0,12500.0,1189970.0,4.75988
1995,5,50.0833,12.015,Hijacked,Steaming,49.57221637309144,Som,Sub-Saharan Africa,1,42.72,Moderate,1.7,6354600.0,7625520.0,12500.0,7638020.0,30.55208
1995,5,50.0833,12.015,Hijacked,Steaming,49.57221637309144,Som,Sub-Saharan Africa,1,42.72,Moderate,1.7,6354600.0,7625520.0,12500.0,7638020.0,30.55208
1995,6,107.0568,10.344,Boarding,Anchored,3.669869041193917,Vnm,East Asia & Pacific,0,7.28,Low,1.4,891800.0,1070160.0,12500.0,1082660.0,4.33064
1995,6,113.4317,16.2216667,Attempted,Steaming,88.6704848696361,Chn,East Asia & Pacific,0,12.2,Low,1.4,1494500.0,1793400.0,12500.0,1805900.0,7.2236
1995,6,121.9667,19.35,Attempted,Steaming,15.70478852055918,Phl,East Asia & Pacific,0,8.95,Low,1.4,1096375.0,1315650.0,12500.0,1328150.0,5.3126
1995,6,70.3167,23.0,Boarding,Steaming,5.796385224843472,Ind,South Asia,0,32.69,Moderate,1.6,4576600.0,5491920.0,12500.0,5504420.0,22.01768
1995,6,114.1333,22.15,Boarding,Anchored,3.214374042384808,Chn,East Asia & Pacific,0,10.02,Low,1.4,1227450.0,1472940.0,12500.0,1485440.0,5.94176
1995,6,114.5333,22.7,Hijacked,Steaming,0.0988983359978189,Chn,East Asia & Pacific,1,66.11,High,1.4,8098475.0,9718170.0,12500.0,9730670.0,38.92268
1995,6,113.8333,22.1833333,Hijacked,Steaming,2.039121420500185,Chn,East Asia & Pacific,1,49.75,Moderate,1.4,6094375.0,7313250.0,12500.0,7325750.0,29.303
1995,6,107.0568,10.344,Boarding,Anchored,3.669869041193917,Vnm,East Asia & Pacific,0,7.28,Low,1.4,891800.0,1070160.0,12500.0,1082660.0,4.33064
1995,6,110.4,21.1765,Boarding,Anchored,0.0604175051881419,Chn,East Asia & Pacific,0,9.01,Low,1.4,1103725.0,1324470.0,12500.0,1336970.0,5.34788
1995,6,106.875,-6.0886667,Attempted,Anchored,4.407541807863196,Idn,East Asia & Pacific,0,7.12,Low,1.4,872200.0,1046640.0,12500.0,1059140.0,4.23656
1995,6,104.9167,-2.8033333,Boarding,Steaming,31.25467186658344,Idn,East Asia & Pacific,0,9.17,Low,1.4,1123325.0,1347990.0,12500.0,1360490.0,5.44196
1995,7,108.3817,21.4616667,Boarding,Anchored,11.069623406596982,Chn,East Asia & Pacific,0,8.22,Low,1.4,1006950.0,1208340.0,12500.0,1220840.0,4.88336
1995,7,101.7333,2.1666667,Attempted,Steaming,8.586976628234236,Idn,East Asia & Pacific,0,9.23,Low,1.4,1130675.0,1356810.0,12500.0,1369310.0,5.47724
1995,7,70.3221,22.8783,Boarding,Anchored,4.440194709648962,Ind,South Asia,0,12.0,Low,1.6,1680000.0,2016000.0,12500.0,2028500.0,8.114
1995,7,70.2203,22.8196667,Boarding,Anchored,10.431066309530106,Ind,South Asia,0,9.85,Low,1.6,1379000.0,1654800.0,12500.0,1667300.0,6.6692
1995,7,114.14,20.1166667,Boarding,Anchored,208.529519026467,Chn,East Asia & Pacific,0,9.93,Low,1.4,1216425.0,1459710.0,12500.0,1472210.0,5.88884
1995,7,114.1667,22.1166667,Boarding,Anchored,7.21301748674314,Chn,East Asia & Pacific,0,7.99,Low,1.4,978775.0,1174530.0,12500.0,1187030.0,4.74812
1995,7,113.8933,22.0733333,Boarding,Anchored,14.53120548290667,Chn,East Asia & Pacific,0,7.36,Low,1.4,901600.0,1081920.0,12500.0,1094420.0,4.37768
1995,7,115.8583,-5.0166667,Attempted,Steaming,22.284861192386018,Idn,East Asia & Pacific,0,7.19,Low,1.4,880775.0,1056930.0,12500.0,1069430.0,4.27772
1995,7,104.9167,-2.3,Boarding,Steaming,1.6602065835990278,Idn,East Asia & Pacific,0,14.46,Low,1.4,1771350.0,2125620.0,12500.0,2138120.0,8.55248
1995,7,113.8,22.1166667,Boarding,Anchored,10.11223592368214,Chn,East Asia & Pacific,0,7.9,Low,1.4,967750.0,1161300.0,12500.0,1173800.0,4.6952
1995,7,-77.1667,-12.0167,Boarding,Anchored,2.45561630450921,Per,Latin America & Caribbean,0,6.96,Low,1.0,609000.0,730800.0,12500.0,743300.0,2.9732
1995,7,114.24,22.1266667,Hijacked,Steaming,7.524708543384793,Chn,East Asia & Pacific,1,29.37,Moderate,1.4,3597825.0,4317390.0,12500.0,4329890.0,17.31956
1995,8,113.8933,22.075,Attempted,Anchored,14.347574561134184,Chn,East Asia & Pacific,0,7.51,Low,1.4,919975.0,1103970.0,12500.0,1116470.0,4.46588
1995,8,91.7932,22.2166667,Boarding,Anchored,2.3299711621029298,Bgd,South Asia,0,7.96,Low,1.6,1114400.0,1337280.0,12500.0,1349780.0,5.39912
1995,8,105.1667,-5.4666667,Boarding,Anchored,8.92725001874063,Idn,East Asia & Pacific,0,7.38,Low,1.4,904050.0,1084860.0,12500.0,1097360.0,4.38944
1995,8,79.8432,6.95,Boarding,Anchored,1.4503777338162311,Lka,South Asia,0,6.84,Low,1.6,957600.0,1149120.0,12500.0,1161620.0,4.64648
1995,8,114.16,22.1166667,Boarding,Anchored,7.032910972101598,Chn,East Asia & Pacific,0,7.9,Low,1.4,967750.0,1161300.0,12500.0,1173800.0,4.6952
1995,8,114.6833,22.0666667,Attempted,Steaming,38.52289235882058,Chn,East Asia & Pacific,0,22.97,Low,1.4,2813825.0,3376590.0,12500.0,3389090.0,13.55636
1995,8,100.2997,3.7998,Hijacked,Steaming,46.15569347656362,Mys,East Asia & Pacific,1,20.45,Low,1.4,2505125.0,3006150.0,12500.0,3018650.0,12.0746
1995,8,3.4167,6.4166667,Boarding,Steaming,0.5737189298965042,Nga,Sub-Saharan Africa,0,10.04,Low,1.7,1493450.0,1792140.0,12500.0,1804640.0,7.21856
1995,8,113.7917,22.1216667,Boarding,Anchored,10.08155668116325,Chn,East Asia & Pacific,0,8.05,Low,1.4,986125.0,1183350.0,12500.0,1195850.0,4.7834
1995,8,107.85,6.9,Attempted,Steaming,235.9127034292208,Idn,East Asia & Pacific,0,8.82,Low,1.4,1080450.0,1296540.0,12500.0,1309040.0,5.23616
